seq_page_links;value;links_to_law_details
http://parlament.ba/oLaw/GetOLawsByStatus?page=2&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=60468;http://parlament.ba/olaw/OLawDetails?lawId=60468
http://parlament.ba/oLaw/GetOLawsByStatus?page=2&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=60444;http://parlament.ba/olaw/OLawDetails?lawId=60444
http://parlament.ba/oLaw/GetOLawsByStatus?page=2&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=59734;http://parlament.ba/olaw/OLawDetails?lawId=59734
http://parlament.ba/oLaw/GetOLawsByStatus?page=2&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=59655;http://parlament.ba/olaw/OLawDetails?lawId=59655
http://parlament.ba/oLaw/GetOLawsByStatus?page=3&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=59652;http://parlament.ba/olaw/OLawDetails?lawId=59652
http://parlament.ba/oLaw/GetOLawsByStatus?page=3&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=59548;http://parlament.ba/olaw/OLawDetails?lawId=59548
http://parlament.ba/oLaw/GetOLawsByStatus?page=3&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=59547;http://parlament.ba/olaw/OLawDetails?lawId=59547
http://parlament.ba/oLaw/GetOLawsByStatus?page=3&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=59546;http://parlament.ba/olaw/OLawDetails?lawId=59546
http://parlament.ba/oLaw/GetOLawsByStatus?page=3&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=59478;http://parlament.ba/olaw/OLawDetails?lawId=59478
http://parlament.ba/oLaw/GetOLawsByStatus?page=3&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=59422;http://parlament.ba/olaw/OLawDetails?lawId=59422
http://parlament.ba/oLaw/GetOLawsByStatus?page=3&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=59384;http://parlament.ba/olaw/OLawDetails?lawId=59384
http://parlament.ba/oLaw/GetOLawsByStatus?page=3&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=59383;http://parlament.ba/olaw/OLawDetails?lawId=59383
http://parlament.ba/oLaw/GetOLawsByStatus?page=3&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=59185;http://parlament.ba/olaw/OLawDetails?lawId=59185
http://parlament.ba/oLaw/GetOLawsByStatus?page=3&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=59175;http://parlament.ba/olaw/OLawDetails?lawId=59175
http://parlament.ba/oLaw/GetOLawsByStatus?page=4&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=59174;http://parlament.ba/olaw/OLawDetails?lawId=59174
http://parlament.ba/oLaw/GetOLawsByStatus?page=4&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=59014;http://parlament.ba/olaw/OLawDetails?lawId=59014
http://parlament.ba/oLaw/GetOLawsByStatus?page=4&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=59010;http://parlament.ba/olaw/OLawDetails?lawId=59010
http://parlament.ba/oLaw/GetOLawsByStatus?page=4&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=58915;http://parlament.ba/olaw/OLawDetails?lawId=58915
http://parlament.ba/oLaw/GetOLawsByStatus?page=4&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=58913;http://parlament.ba/olaw/OLawDetails?lawId=58913
http://parlament.ba/oLaw/GetOLawsByStatus?page=4&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=58739;http://parlament.ba/olaw/OLawDetails?lawId=58739
http://parlament.ba/oLaw/GetOLawsByStatus?page=4&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=58301;http://parlament.ba/olaw/OLawDetails?lawId=58301
http://parlament.ba/oLaw/GetOLawsByStatus?page=4&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=58217;http://parlament.ba/olaw/OLawDetails?lawId=58217
http://parlament.ba/oLaw/GetOLawsByStatus?page=4&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=58138;http://parlament.ba/olaw/OLawDetails?lawId=58138
http://parlament.ba/oLaw/GetOLawsByStatus?page=4&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=58034;http://parlament.ba/olaw/OLawDetails?lawId=58034
http://parlament.ba/oLaw/GetOLawsByStatus?page=5&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=57845;http://parlament.ba/olaw/OLawDetails?lawId=57845
http://parlament.ba/oLaw/GetOLawsByStatus?page=5&MandateId=4&Status=-1;/olaw/OLawDetails?lawId=57622;http://parlament.ba/olaw/OLawDetails?lawId=57622
