seq_page_links;link_to_voting_record;law_id;record_id
http://parlament.ba/olaw/OLawDetails?lawId=59014;http://parlament.ba/oLaw/GetOwisDocument/?documentId=186831&data=0E8BDF77AE1DA060BF9C9FF960FF47DD&lang=bs;59014;186831
http://parlament.ba/olaw/OLawDetails?lawId=59014;http://parlament.ba/oLaw/GetOwisDocument/?documentId=186832&data=48EFC9CA686F2AF07195C700ECF504C9&lang=bs;59014;186832
http://parlament.ba/olaw/OLawDetails?lawId=59010;http://parlament.ba/oLaw/GetOwisDocument/?documentId=193130&data=86B9E8FCFFDA70D40AC2BAFCCF1D343A&lang=bs;59010;193130
http://parlament.ba/olaw/OLawDetails?lawId=59010;http://parlament.ba/oLaw/GetOwisDocument/?documentId=198486&data=09FA3F2AE85634C85C0A6B442CFF9BBC&lang=bs;59010;198486
http://parlament.ba/olaw/OLawDetails?lawId=59010;http://parlament.ba/oLaw/GetOwisDocument/?documentId=186833&data=A994BBCEC1CD0CE9F489D62996D3A928&lang=bs;59010;186833
http://parlament.ba/olaw/OLawDetails?lawId=59010;http://parlament.ba/oLaw/GetOwisDocument/?documentId=191064&data=946F08E9399B8DAE32CA3297CECB9E16&lang=bs;59010;191064
http://parlament.ba/olaw/OLawDetails?lawId=58915;http://parlament.ba/oLaw/GetOwisDocument/?documentId=191103&data=C02A262D5F335D505F8381509199873C&lang=bs;58915;191103
http://parlament.ba/olaw/OLawDetails?lawId=58915;http://parlament.ba/oLaw/GetOwisDocument/?documentId=191104&data=EEE1D4FFC294419B3B967326CC8A910D&lang=bs;58915;191104
http://parlament.ba/olaw/OLawDetails?lawId=58913;http://parlament.ba/oLaw/GetOwisDocument/?documentId=186830&data=4AC0883C789D0CFFE9F5A8F21D058414&lang=bs;58913;186830
http://parlament.ba/olaw/OLawDetails?lawId=58913;http://parlament.ba/oLaw/GetOwisDocument/?documentId=191065&data=F82917D54FFE540D616487A126F65163&lang=bs;58913;191065
http://parlament.ba/olaw/OLawDetails?lawId=58739;http://parlament.ba/oLaw/GetOwisDocument/?documentId=193128&data=0870061BD9ED62D3F0C95C96EB0369AE&lang=bs;58739;193128
http://parlament.ba/olaw/OLawDetails?lawId=58739;http://parlament.ba/oLaw/GetOwisDocument/?documentId=193132&data=65CC1439E32D88DF8E2DE3CAB16B5B7E&lang=bs;58739;193132
http://parlament.ba/olaw/OLawDetails?lawId=58739;http://parlament.ba/oLaw/GetOwisDocument/?documentId=198484&data=D108D53040856EE7003110548A5BD460&lang=bs;58739;198484
http://parlament.ba/olaw/OLawDetails?lawId=58739;http://parlament.ba/oLaw/GetOwisDocument/?documentId=180466&data=EA985DBF7306C94ED8F7C8EE9B4DD3D0&lang=bs;58739;180466
http://parlament.ba/olaw/OLawDetails?lawId=58739;http://parlament.ba/oLaw/GetOwisDocument/?documentId=180467&data=BC1158A921D2D42292FABAD93F044980&lang=bs;58739;180467
http://parlament.ba/olaw/OLawDetails?lawId=58739;http://parlament.ba/oLaw/GetOwisDocument/?documentId=186781&data=BE4E8DC1192FE7EEAC2242CF633E57C6&lang=bs;58739;186781
http://parlament.ba/olaw/OLawDetails?lawId=58739;http://parlament.ba/oLaw/GetOwisDocument/?documentId=191063&data=7005C14C55819A48065FE967FF8060CE&lang=bs;58739;191063
http://parlament.ba/olaw/OLawDetails?lawId=58301;http://parlament.ba/oLaw/GetOwisDocument/?documentId=190035&data=2277179F1A46D0AA8AB85B09CD450BD2&lang=bs;58301;190035
http://parlament.ba/olaw/OLawDetails?lawId=58301;http://parlament.ba/oLaw/GetOwisDocument/?documentId=193125&data=DBD0BD691210A7D1C1B31421BCF6AF22&lang=bs;58301;193125
http://parlament.ba/olaw/OLawDetails?lawId=58301;http://parlament.ba/oLaw/GetOwisDocument/?documentId=193126&data=86505AD546C73400AB07079A0C60ADE0&lang=bs;58301;193126
http://parlament.ba/olaw/OLawDetails?lawId=58301;http://parlament.ba/oLaw/GetOwisDocument/?documentId=200626&data=D63C41D629EC57286DCC3F010BD465DF&lang=bs;58301;200626
http://parlament.ba/olaw/OLawDetails?lawId=58301;http://parlament.ba/oLaw/GetOwisDocument/?documentId=180471&data=7394A05717FAEBBA99314C28D7030BFC&lang=bs;58301;180471
http://parlament.ba/olaw/OLawDetails?lawId=58301;http://parlament.ba/oLaw/GetOwisDocument/?documentId=186782&data=B6C1E1C962B400F4B00BD1D180971065&lang=bs;58301;186782
http://parlament.ba/olaw/OLawDetails?lawId=58301;http://parlament.ba/oLaw/GetOwisDocument/?documentId=186783&data=D071190138814B488C8A5C025EE3ED80&lang=bs;58301;186783
http://parlament.ba/olaw/OLawDetails?lawId=58301;http://parlament.ba/oLaw/GetOwisDocument/?documentId=195023&data=A6030A7A5C839E078E2446B5B92AF491&lang=bs;58301;195023
http://parlament.ba/olaw/OLawDetails?lawId=58301;http://parlament.ba/oLaw/GetOwisDocument/?documentId=196268&data=510B2CE4A43BE5453CE50E48D367C49E&lang=bs;58301;196268
http://parlament.ba/olaw/OLawDetails?lawId=58301;http://parlament.ba/oLaw/GetOwisDocument/?documentId=196269&data=F31F7CD1300A2A3C6311CBFBB718714F&lang=bs;58301;196269
http://parlament.ba/olaw/OLawDetails?lawId=58301;http://parlament.ba/oLaw/GetOwisDocument/?documentId=196270&data=ABC66A4F6B3CF86BEBB299566296DF19&lang=bs;58301;196270
http://parlament.ba/olaw/OLawDetails?lawId=58301;http://parlament.ba/oLaw/GetOwisDocument/?documentId=196271&data=CED7FAD5D5EF1BE60EB4D223E19729F2&lang=bs;58301;196271
